"CCA1"	"CCA2"
"NTM"	0.275222033449205	0.0773016719162125
"NTRK2"	0.251369077935115	0.157242683691351
"NTRK3"	0.271702457956088	0.0604990050801101
"NTSR2"	0.34916457504045	0.118506344448183
"NUDT10"	0.25747749508986	0.0786994627407728
"NXPH1"	0.238963293627007	0.0772684736649479
"NXPH3"	0.217397202456775	0.0567700629362169
"OLFM1"	0.281958646100862	0.0814387888096141
"OLFM2"	0.252412064337669	0.102563338224059
"OLFM3"	0.30532101425191	0.0842782819952088
"OLIG1"	0.301984141932072	0.0760512337789848
"OLIG2"	0.207489838934149	0.067351656340995
"OMG"	0.352260195809578	0.0829040195452022
"OPALIN"	0.252130543494156	0.07778080017469
"OPCML"	0.204967438234946	0.0434365614662714
"OPRL1"	0.292155500053309	0.0771182026953195
"OSBP2"	0.20339864391518	0.104473912447344
"OTUD7A"	0.225230315053217	0.0231194925910396
"P4HTM"	0.214286640628894	-0.0169328224840749
"PACSIN1"	0.248469851350515	0.0627146286312834
"PAK3"	0.242711077905281	0.0501451625313721
"PAK5"	0.302153273801698	0.0848215211828083
"PANX2"	0.27901764432615	0.0216761980859279
"PAQR8"	0.258555363303089	0.0297459774458104
"PCDH10"	0.328529689714754	0.0705572262855103
"PCDH20"	0.210266594597239	-0.0598010800669047
"PCDH7"	0.208743805877314	-0.0392612818838011
"PCDH9"	0.317191455596244	0.0593665502093281
"PCDHAC2"	0.213335434712389	-0.0438980491344114
"PCNX2"	0.330535626079437	0.0922655705258152
"PCSK2"	0.333400436110443	0.0409718945109178
"PCYT1B"	0.209958977991568	0.00519796953289953
"PDZD4"	0.220196836882262	0.0271010788848505
"PDZD7"	0.231962181714441	0.0595973121565002
"PEX5L"	0.318504809832487	0.0769574146920177
"PFN2"	0.255967988232948	0.0586479110200075
"PHACTR1"	0.205589551082354	-0.0210404342698817
"PHACTR3"	0.290987661281452	0.0754328368799735
"PHF24"	0.303744118499922	0.119932432972271
"PHKG1"	0.223513679856567	0.0180811914337537
"PHYHIP"	0.307206947288588	0.112055015952378
"PHYHIPL"	0.246404382558044	0.0822674829130226
"PIANP"	0.315151734884043	0.083371449448868
"PITPNM3"	0.248555297851575	0.00917514359222149
"PLCD4"	0.223791668942893	0.0587919797290372
"PLCH2"	0.256275107414914	0.00704850936767638
"PLP1"	0.314238498583175	0.0903126607935135
"PLPPR2"	0.265347588594222	0.0979265953217806
"PLPPR4"	0.318856925517763	0.0640264915183043
"PLXNA3"	0.223315082393315	-0.00889075722765264
"PLXNB3"	0.294276676153686	0.0401096741025423
"PNCK"	0.247589484156323	0.035495905143328
"PNMA8B"	0.33193416506382	0.0719000483729625
"PODXL2"	0.239242800307803	0.0285274160051275
"PPFIA2"	0.280928114749893	0.110368209165482
"PPFIA3"	0.254123998569303	0.0422577606093586
"PPFIA4"	0.295225167633607	0.0637199902952589
"PPP1R17"	0.203538337614482	0.0652721047606459
"PPP1R9A"	0.209189914318547	0.00496028225670862
"PPP2R2B"	0.283604864815139	0.0686871419060237
"PPP2R2C"	0.330837549652467	0.0109215642564986
"PRDM8"	0.241469464881391	0.0228987065497578
"PRKAR1B"	0.314992300667771	0.0751098022564598
"PRKCB"	0.284081769994996	0.0253362527600308
"PRKCG"	0.292602709184978	0.0668669646276848
"PRMT8"	0.29581055104983	0.0669135569498169
"PRR18"	0.215876371593823	0.0168436184973548
"PRR36"	0.253545973263659	0.0274182155774608
"PRRT1"	0.345136362399837	0.035799503549261
"PRRT2"	0.380503710329559	0.101946856091903
"PRRT3"	0.296217254099242	0.0919399683956546
"PSD2"	0.212648560156023	0.0698182754117516
"PTGDS"	0.45066925400701	0.200086510904657
"PTPN5"	0.282609465302567	0.0377556770037648
"PTPRN"	0.309800291311612	0.0367130245839546
"PTPRN2"	0.22849042776068	0.0273823163747872
"PTPRT"	0.268049217560739	0.0735637472169227
"PTPRZ1"	0.276311676154746	0.0560414809230462
"PVALB"	0.387837180357887	0.118414653376693
"RAB33A"	0.215004429712118	0.0335662204409659
"RAB3A"	0.238650737007198	0.0388487893020855
"RAB3C"	0.250495616887452	0.0450000910268153
"RALYL"	0.250128406479159	0.0891421273963583
"RASD2"	0.230179426648255	0.0470034896187237
"RASGRF1"	0.282264641061746	0.0184417145876638
"RBFOX1"	0.30041163066465	0.0878897458566132
"RBFOX3"	0.353552203985757	0.11515327589969
"REEP2"	0.213118673659319	0.0438293581067044
"RELL2"	0.250634906654794	0.0662885137716869
"RGS17"	0.236521380702974	0.0464985250974325
"RGS20"	0.213548555044212	0.051572305052179
"RGS7"	0.280331802638754	0.0677058131551391
"RGS7BP"	0.232995923849804	-0.0388207852607308
"RGS8"	0.261682974056132	0.0957457859156034
"RIMBP2"	0.236655865772472	-0.0372912744779749
"RIMS1"	0.318737760771314	0.0120189898497606
"RIMS2"	0.324591832496243	0.059694869918587
"RIMS3"	0.246292333860073	0.0666656410886013
"RNF112"	0.34590055958602	0.0326922696463717
"RNF182"	0.211191163020317	0.0570525011200166
